"Time (CET/CEST)","BZN|SE3 > BZN|NO1 [MW]","BZN|NO1 > BZN|SE3 [MW]"
"07.03.2025 00:00 - 07.03.2025 01:00","1553","0"
"07.03.2025 01:00 - 07.03.2025 02:00","1607","0"
"07.03.2025 02:00 - 07.03.2025 03:00","1408","0"
"07.03.2025 03:00 - 07.03.2025 04:00","1211","0"
"07.03.2025 04:00 - 07.03.2025 05:00","903","0"
"07.03.2025 05:00 - 07.03.2025 06:00","453","0"
"07.03.2025 06:00 - 07.03.2025 07:00","0","7"
"07.03.2025 07:00 - 07.03.2025 08:00","0","601"
"07.03.2025 08:00 - 07.03.2025 09:00","0","586"
"07.03.2025 09:00 - 07.03.2025 10:00","0","296"
"07.03.2025 10:00 - 07.03.2025 11:00","232","0"
"07.03.2025 11:00 - 07.03.2025 12:00","585","0"
"07.03.2025 12:00 - 07.03.2025 13:00","1765","0"
"07.03.2025 13:00 - 07.03.2025 14:00","1878","0"
"07.03.2025 14:00 - 07.03.2025 15:00","1124","0"
"07.03.2025 15:00 - 07.03.2025 16:00","849","0"
"07.03.2025 16:00 - 07.03.2025 17:00","524","0"
"07.03.2025 17:00 - 07.03.2025 18:00","207","0"
"07.03.2025 18:00 - 07.03.2025 19:00","157","0"
"07.03.2025 19:00 - 07.03.2025 20:00","590","0"
"07.03.2025 20:00 - 07.03.2025 21:00","674","0"
"07.03.2025 21:00 - 07.03.2025 22:00","985","0"
"07.03.2025 22:00 - 07.03.2025 23:00","1144","0"
"07.03.2025 23:00 - 08.03.2025 00:00","1328","0"
