"Time (CET/CEST)","BZN|NO2 > BZN|NO1 [MW]","BZN|NO1 > BZN|NO2 [MW]"
"24.03.2025 00:00 - 24.03.2025 00:15","0","721"
"24.03.2025 00:15 - 24.03.2025 00:30","0","802"
"24.03.2025 00:30 - 24.03.2025 00:45","0","1004"
"24.03.2025 00:45 - 24.03.2025 01:00","0","940"
"24.03.2025 01:00 - 24.03.2025 01:15","0","840"
"24.03.2025 01:15 - 24.03.2025 01:30","0","844"
"24.03.2025 01:30 - 24.03.2025 01:45","0","912"
"24.03.2025 01:45 - 24.03.2025 02:00","0","970"
"24.03.2025 02:00 - 24.03.2025 02:15","0","900"
"24.03.2025 02:15 - 24.03.2025 02:30","0","898"
"24.03.2025 02:30 - 24.03.2025 02:45","0","930"
"24.03.2025 02:45 - 24.03.2025 03:00","0","903"
"24.03.2025 03:00 - 24.03.2025 03:15","0","739"
"24.03.2025 03:15 - 24.03.2025 03:30","0","671"
"24.03.2025 03:30 - 24.03.2025 03:45","0","690"
"24.03.2025 03:45 - 24.03.2025 04:00","0","689"
"24.03.2025 04:00 - 24.03.2025 04:15","0","483"
"24.03.2025 04:15 - 24.03.2025 04:30","0","471"
"24.03.2025 04:30 - 24.03.2025 04:45","0","480"
"24.03.2025 04:45 - 24.03.2025 05:00","0","386"
"24.03.2025 05:00 - 24.03.2025 05:15","0","383"
"24.03.2025 05:15 - 24.03.2025 05:30","0","262"
"24.03.2025 05:30 - 24.03.2025 05:45","0","220"
"24.03.2025 05:45 - 24.03.2025 06:00","0","349"
"24.03.2025 06:00 - 24.03.2025 06:15","349","0"
"24.03.2025 06:15 - 24.03.2025 06:30","430","0"
"24.03.2025 06:30 - 24.03.2025 06:45","412","0"
"24.03.2025 06:45 - 24.03.2025 07:00","408","0"
"24.03.2025 07:00 - 24.03.2025 07:15","465","0"
"24.03.2025 07:15 - 24.03.2025 07:30","562","0"
"24.03.2025 07:30 - 24.03.2025 07:45","498","0"
"24.03.2025 07:45 - 24.03.2025 08:00","462","0"
"24.03.2025 08:00 - 24.03.2025 08:15","543","0"
"24.03.2025 08:15 - 24.03.2025 08:30","661","0"
"24.03.2025 08:30 - 24.03.2025 08:45","650","0"
"24.03.2025 08:45 - 24.03.2025 09:00","596","0"
"24.03.2025 09:00 - 24.03.2025 09:15","417","0"
"24.03.2025 09:15 - 24.03.2025 09:30","324","0"
"24.03.2025 09:30 - 24.03.2025 09:45","304","0"
"24.03.2025 09:45 - 24.03.2025 10:00","296","0"
"24.03.2025 10:00 - 24.03.2025 10:15","0","17"
"24.03.2025 10:15 - 24.03.2025 10:30","1","0"
"24.03.2025 10:30 - 24.03.2025 10:45","51","0"
"24.03.2025 10:45 - 24.03.2025 11:00","100","0"
"24.03.2025 11:00 - 24.03.2025 11:15","0","173"
"24.03.2025 11:15 - 24.03.2025 11:30","0","230"
"24.03.2025 11:30 - 24.03.2025 11:45","0","162"
"24.03.2025 11:45 - 24.03.2025 12:00","0","129"
"24.03.2025 12:00 - 24.03.2025 12:15","0","228"
"24.03.2025 12:15 - 24.03.2025 12:30","0","355"
"24.03.2025 12:30 - 24.03.2025 12:45","0","336"
"24.03.2025 12:45 - 24.03.2025 13:00","0","367"
"24.03.2025 13:00 - 24.03.2025 13:15","0","414"
"24.03.2025 13:15 - 24.03.2025 13:30","0","373"
"24.03.2025 13:30 - 24.03.2025 13:45","0","388"
"24.03.2025 13:45 - 24.03.2025 14:00","0","428"
"24.03.2025 14:00 - 24.03.2025 14:15","0","474"
"24.03.2025 14:15 - 24.03.2025 14:30","0","548"
"24.03.2025 14:30 - 24.03.2025 14:45","0","506"
"24.03.2025 14:45 - 24.03.2025 15:00","0","400"
"24.03.2025 15:00 - 24.03.2025 15:15","0","291"
"24.03.2025 15:15 - 24.03.2025 15:30","0","297"
"24.03.2025 15:30 - 24.03.2025 15:45","0","327"
"24.03.2025 15:45 - 24.03.2025 16:00","0","303"
"24.03.2025 16:00 - 24.03.2025 16:15","474","0"
"24.03.2025 16:15 - 24.03.2025 16:30","524","0"
"24.03.2025 16:30 - 24.03.2025 16:45","436","0"
"24.03.2025 16:45 - 24.03.2025 17:00","478","0"
"24.03.2025 17:00 - 24.03.2025 17:15","742","0"
"24.03.2025 17:15 - 24.03.2025 17:30","726","0"
"24.03.2025 17:30 - 24.03.2025 17:45","680","0"
"24.03.2025 17:45 - 24.03.2025 18:00","593","0"
