"Time (CET/CEST)","BZN|SE3 > BZN|NO1 [MW]","BZN|NO1 > BZN|SE3 [MW]"
"29.03.2025 00:00 - 29.03.2025 01:00","1908","0"
"29.03.2025 01:00 - 29.03.2025 02:00","1790","0"
"29.03.2025 02:00 - 29.03.2025 03:00","1673","0"
"29.03.2025 03:00 - 29.03.2025 04:00","1622","0"
"29.03.2025 04:00 - 29.03.2025 05:00","1449","0"
"29.03.2025 05:00 - 29.03.2025 06:00","1415","0"
"29.03.2025 06:00 - 29.03.2025 07:00","1697","0"
"29.03.2025 07:00 - 29.03.2025 08:00","1778","0"
"29.03.2025 08:00 - 29.03.2025 09:00","1847","0"
"29.03.2025 09:00 - 29.03.2025 10:00","1871","0"
"29.03.2025 10:00 - 29.03.2025 11:00","1708","0"
"29.03.2025 11:00 - 29.03.2025 12:00","1663","0"
"29.03.2025 12:00 - 29.03.2025 13:00","1746","0"
"29.03.2025 13:00 - 29.03.2025 14:00","1733","0"
"29.03.2025 14:00 - 29.03.2025 15:00","1797","0"
"29.03.2025 15:00 - 29.03.2025 16:00","1816","0"
"29.03.2025 16:00 - 29.03.2025 17:00","1101","0"
"29.03.2025 17:00 - 29.03.2025 18:00","0","104"
"29.03.2025 18:00 - 29.03.2025 19:00","0","462"
"29.03.2025 19:00 - 29.03.2025 20:00","0","197"
"29.03.2025 20:00 - 29.03.2025 21:00","203","0"
"29.03.2025 21:00 - 29.03.2025 22:00","301","0"
"29.03.2025 22:00 - 29.03.2025 23:00","524","0"
"29.03.2025 23:00 - 30.03.2025 00:00","710","0"
