"Time (CET/CEST)","BZN|NO2 > BZN|NO1 [MW]","BZN|NO1 > BZN|NO2 [MW]"
"02.03.2025 00:00 - 02.03.2025 00:15","0","1056"
"02.03.2025 00:15 - 02.03.2025 00:30","0","1011"
"02.03.2025 00:30 - 02.03.2025 00:45","0","1203"
"02.03.2025 00:45 - 02.03.2025 01:00","0","1189"
"02.03.2025 01:00 - 02.03.2025 01:15","0","1216"
"02.03.2025 01:15 - 02.03.2025 01:30","0","1227"
"02.03.2025 01:30 - 02.03.2025 01:45","0","1215"
"02.03.2025 01:45 - 02.03.2025 02:00","0","1227"
"02.03.2025 02:00 - 02.03.2025 02:15","0","1314"
"02.03.2025 02:15 - 02.03.2025 02:30","0","1281"
"02.03.2025 02:30 - 02.03.2025 02:45","0","1267"
"02.03.2025 02:45 - 02.03.2025 03:00","0","1276"
"02.03.2025 03:00 - 02.03.2025 03:15","0","1377"
"02.03.2025 03:15 - 02.03.2025 03:30","0","1417"
"02.03.2025 03:30 - 02.03.2025 03:45","0","1409"
"02.03.2025 03:45 - 02.03.2025 04:00","0","1402"
"02.03.2025 04:00 - 02.03.2025 04:15","0","1462"
"02.03.2025 04:15 - 02.03.2025 04:30","0","1489"
"02.03.2025 04:30 - 02.03.2025 04:45","0","1476"
"02.03.2025 04:45 - 02.03.2025 05:00","0","1472"
"02.03.2025 05:00 - 02.03.2025 05:15","0","1482"
"02.03.2025 05:15 - 02.03.2025 05:30","0","1492"
"02.03.2025 05:30 - 02.03.2025 05:45","0","1533"
"02.03.2025 05:45 - 02.03.2025 06:00","0","1506"
"02.03.2025 06:00 - 02.03.2025 06:15","0","1470"
"02.03.2025 06:15 - 02.03.2025 06:30","0","1482"
"02.03.2025 06:30 - 02.03.2025 06:45","0","1477"
"02.03.2025 06:45 - 02.03.2025 07:00","0","1484"
"02.03.2025 07:00 - 02.03.2025 07:15","0","1463"
"02.03.2025 07:15 - 02.03.2025 07:30","0","1410"
"02.03.2025 07:30 - 02.03.2025 07:45","0","1400"
"02.03.2025 07:45 - 02.03.2025 08:00","0","1424"
"02.03.2025 08:00 - 02.03.2025 08:15","0","1390"
"02.03.2025 08:15 - 02.03.2025 08:30","0","1364"
"02.03.2025 08:30 - 02.03.2025 08:45","0","1381"
"02.03.2025 08:45 - 02.03.2025 09:00","0","1427"
"02.03.2025 09:00 - 02.03.2025 09:15","0","1424"
"02.03.2025 09:15 - 02.03.2025 09:30","0","1502"
"02.03.2025 09:30 - 02.03.2025 09:45","0","1569"
